longitude,latitude,M13_log
-116.600334,32.45602,0.8071592
-116.60965,32.45485,0.7926205
-110.57308,33.096054,0.90668106
-110.571304,33.089813,1.0119979
-110.92939,33.470478,1.1231823
-110.87417,33.48496,0.99120307
-110.87487,33.494934,1.943229
-110.88941,33.493748,1.7975641
-110.90289,33.49265,0.7999163
-110.92423,33.466316,0.8598707
-110.91081,33.4773,0.7999163
-110.869225,33.490414,1.5441927
-110.883804,33.489326,1.8356949
-110.89753,33.48831,1.4424964
-110.88482,33.49928,0.99120307
-110.60115,33.53047,2.0955353
-110.60844,33.529934,1.6886432
-110.60262,33.540554,0.8356173
-110.60968,33.54003,2.0254853
-110.61715,33.53948,1.2490776
-110.6246,33.538925,0.8460837
-110.7495,33.570026,0.9730281
-110.73606,33.58119,1.4982591
-110.748245,33.58025,2.308854
-110.760376,33.579292,2.122043
-110.70787,33.593533,0.9699666
-110.72188,33.59243,3.153446
-110.7358,33.59134,4.376884
-110.74745,33.590424,3.0826044
-110.759514,33.58948,2.0339859
-110.773186,33.588406,0.8666935
-110.72247,33.602516,1.0178608
-110.735794,33.601463,3.7446604
-110.747086,33.60058,3.070669
-110.75918,33.599625,1.4074825
-110.77262,33.598553,1.4763258
-110.716156,33.587284,1.0965235
-110.72986,33.586304,3.2770786
-110.74303,33.58535,2.348256
-110.75454,33.584522,2.9363403
-110.767586,33.583588,0.8356173
-110.71591,33.59743,1.1465822
-110.730255,33.596394,4.266204
-110.74248,33.595505,4.2719765
-110.75397,33.594666,2.386908
-110.76718,33.593708,1.1362498
-110.74225,33.605637,1.1967013
-110.76667,33.60385,1.6125945
-111.723785,34.05926,0.89352876
-112.557785,34.02679,0.8460837
-117.16015,34.464264,0.8035443
-117.169945,34.46307,0.7999163
-117.15156,34.4726,0.8071592
-117.1528,34.479733,0.81434995
-117.156555,34.501152,0.8107611
-117.15784,34.508286,0.8356173
-117.159096,34.51542,0.84954834
-117.16893,34.51419,0.8179261
-117.15056,34.523777,0.81434995
-117.16036,34.522545,0.83210397
-117.17019,34.521328,0.83210397
-117.151825,34.530907,0.7926205
-117.16165,34.52968,0.8071592
-117.171455,34.528454,0.7926205
-116.95848,34.584297,0.85300094
-116.99897,34.57925,0.8107611
-116.99655,34.576782,0.8071592
-117.21379,34.550514,0.8107611
-116.94737,34.59002,0.8179261
-116.95736,34.58882,0.89352876
-117.234924,34.555206,0.7926205
-116.94875,34.59721,0.81434995
-116.958694,34.596012,0.8700876
-116.96871,34.59481,0.8666935
-116.978775,34.593597,0.8632879
-116.98902,34.59237,0.83210397
-117.00946,34.589912,0.8071592
-117.20658,34.565952,0.8107611
-117.21651,34.56474,0.83210397
-116.95017,34.604393,0.7999163
-116.960075,34.603207,0.84954834
-116.97005,34.601994,0.85300094
-116.98008,34.600792,0.8179261
-117.20793,34.573067,0.8107611
-117.21785,34.571846,0.81434995
-116.96144,34.610397,0.8179261
-116.971375,34.60919,0.8868872
-116.98138,34.607983,0.85300094
